=== BUILDING-POWER PROBE — 36 games/count · tier guildmaster · base ===

== 3p · 36 games · rounds 16.3 · winner 64.9 · margin 14.8 ==
builder baseline: P(win)=33.3% · P(win|built any)=34.4% (n=96) — the generic builder lift is the bar a design must beat
design        dealt%  builds/g  uses/g  ticks/g  rival%  pips/build  builderWin%   direct★/g
granary       91.7%     0.42     2.06     1.33   59.1%       4.14   35.7% (14)          —
scriveners    86.1%     0.42     1.26     0.65   65.0%       3.54   46.2% (13)          —
missionq     100.0%     0.44     1.75     0.78   57.1%       2.75   43.8% (16)          —
hiringpost    91.7%     0.15     0.12     0.12   25.0%       2.80    40.0% (5)          —
almoner       80.6%     0.17     1.10     0.31   44.4%       2.80    40.0% (5)          —
racking       91.7%     0.64     0.94     0.67   68.2%       4.05   38.1% (21)          —
assay         80.6%     0.48     1.86     1.00   72.4%       3.07   28.6% (14)          —
abbey         94.4%     0.53     0.53     0.26   66.7%       3.50   27.8% (18)          —
maltkiln     100.0%     0.72     3.11     1.53   60.0%       4.12   34.6% (26)          —
hopex         83.3%     0.50     1.67     0.57   64.7%       3.13   33.3% (15)          —
tollhouse     83.3%     0.13     0.13     0.00       —       3.00    75.0% (4)       0.40
cooperage     91.7%     0.39     0.70     0.36   50.0%       3.92   46.2% (13)       1.39
customs       80.6%     0.00     0.17     0.00       —          —            —          —
richberth     86.1%     0.00     0.13     0.00       —          —            —          —
bonded        75.0%     0.41     0.96     0.59   75.0%       4.45   27.3% (11)          —
victual       88.9%     0.63     0.94     0.72   65.2%       4.15   45.0% (20)          —
exchange      83.3%     0.43     2.07     0.77   60.9%       3.77   23.1% (13)          —
capstan       80.6%     0.07     0.34     0.10   33.3%       4.50     0.0% (2)          —

GATE: 0 crashes / 0 deadlocks.
