=== BUILDING-POWER PROBE — 300 games/count · tier trader · ABLATION: no assay ===

== 3p · 300 games · rounds 12.7 · winner 66.0 · margin 10.3 ==
builder baseline: P(win)=33.3% · P(win|built any)=36.1% (n=779) — the generic builder lift is the bar a design must beat
design        dealt%  builds/g  uses/g  ticks/g  rival%  pips/build  builderWin%   direct★/g
granary       84.0%     0.42     1.86     0.97   60.8%       3.33  38.1% (105)          —
scriveners    84.3%     0.33     1.34     0.68   62.2%       4.07   42.2% (83)          —
missionq     100.0%     0.54     2.80     1.02   69.0%       2.89  36.4% (162)          —
hiringpost    84.0%     0.07     0.44     0.06   64.3%       2.78   38.9% (18)          —
almoner       88.0%     0.15     0.47     0.14   67.6%       1.95   28.2% (39)          —
racking       81.3%     0.41     0.54     0.23   76.8%       3.56  43.0% (100)          —
assay          0.0%     0.00     0.00     0.00       —          —            —          —
abbey         85.3%     0.45     0.16     0.13   82.4%       3.30  36.0% (114)          —
maltkiln     100.0%     0.77     6.42     2.06   71.4%       4.67  38.4% (232)          —
hopex         82.0%     0.39     1.09     0.59   69.9%       3.52   37.5% (96)          —
tollhouse     84.7%     0.18     0.09     0.06   71.4%       3.30   41.3% (46)       0.28
cooperage     85.0%     0.44     1.59     0.58   67.3%       4.31  45.5% (112)       3.18
customs       85.3%     0.03     0.05     0.00       —       3.00    28.6% (7)          —
richberth     81.7%     0.00     0.12     0.00       —          —            —          —
bonded        87.3%     0.42     0.43     0.21   78.6%       3.51  31.8% (110)          —
victual       85.7%     0.46     0.39     0.20   72.5%       3.43  38.1% (118)          —
exchange      87.3%     0.39     2.84     0.90   68.6%       4.29  43.7% (103)          —
capstan       79.7%     0.08     0.14     0.03   62.5%       3.44   55.6% (18)          —

GATE: 0 crashes / 0 deadlocks.
