=== BUILDING-POWER PROBE — 300 games/count · tier trader · ABLATION: no cooperage ===

== 4p · 300 games · rounds 12.3 · winner 63.8 · margin 9.3 ==
builder baseline: P(win)=25.0% · P(win|built any)=26.9% (n=1037) — the generic builder lift is the bar a design must beat
design        dealt%  builds/g  uses/g  ticks/g  rival%  pips/build  builderWin%   direct★/g
granary       86.0%     0.54     3.06     1.62   73.3%       3.99  34.3% (140)          —
scriveners    84.7%     0.46     2.22     1.22   78.3%       4.64  38.5% (117)          —
missionq     100.0%     0.78     3.88     1.28   76.9%       2.64  29.8% (235)          —
hiringpost    82.3%     0.07     0.94     0.08   50.0%       3.11   33.3% (18)          —
almoner       80.7%     0.17     0.70     0.26   77.8%       2.58   42.5% (40)          —
racking       84.0%     0.52     0.54     0.36   81.3%       3.69  26.5% (132)          —
assay         85.7%     0.53     2.71     1.23   76.5%       3.30  19.7% (137)          —
abbey         87.3%     0.54     0.28     0.16   81.4%       3.30  29.1% (141)          —
maltkiln     100.0%     1.00     9.79     2.97   75.0%       4.96  28.9% (301)          —
hopex         85.3%     0.50     1.51     0.78   70.5%       3.55  24.8% (129)          —
tollhouse     83.7%     0.25     0.16     0.04  100.0%       3.16   31.7% (63)       0.47
cooperage      0.0%     0.00     0.00     0.00       —          —            —          —
customs       85.3%     0.04     0.08     0.02   50.0%       3.40   40.0% (10)          —
richberth     85.7%     0.00     0.13     0.00       —          —            —          —
bonded        85.0%     0.56     0.52     0.29   69.9%       3.51  29.9% (144)          —
victual       85.3%     0.54     0.56     0.30   71.1%       3.55  24.1% (137)          —
exchange      81.7%     0.50     3.76     1.40   72.8%       4.80  29.5% (122)          —
capstan       84.0%     0.16     0.14     0.05   76.9%       3.33   40.0% (40)          —

GATE: 0 crashes / 0 deadlocks.
