=== BUILDING-POWER PROBE — 300 games/count · tier trader · ABLATION: no maltkiln ===

== 3p · 300 games · rounds 12.9 · winner 64.5 · margin 9.7 ==
builder baseline: P(win)=33.3% · P(win|built any)=35.7% (n=788) — the generic builder lift is the bar a design must beat
design        dealt%  builds/g  uses/g  ticks/g  rival%  pips/build  builderWin%   direct★/g
granary       82.0%     0.48     2.63     1.36   66.6%       3.82  40.3% (119)          —
scriveners    84.3%     0.37     1.20     0.80   64.9%       4.15   26.6% (94)          —
missionq     100.0%     0.69     2.35     0.96   71.6%       2.39  38.0% (208)          —
hiringpost    83.7%     0.04     0.70     0.05   58.3%       3.33    33.3% (9)          —
almoner       88.7%     0.15     0.63     0.19   58.8%       2.27   47.5% (40)          —
racking       84.3%     0.49     0.36     0.18   67.4%       3.37  37.4% (123)          —
assay         86.7%     0.45     2.39     1.01   69.2%       3.25  40.2% (117)          —
abbey         82.0%     0.47     0.22     0.12   58.6%       3.25  46.1% (115)          —
maltkiln       0.0%     0.00     0.00     0.00       —          —            —          —
hopex         81.3%     0.44     1.39     0.70   63.7%       3.60  45.8% (107)          —
tollhouse     83.7%     0.22     0.11     0.04   90.9%       3.20   44.6% (56)       0.32
cooperage     88.0%     0.49     3.50     1.10   67.4%       5.24  36.2% (130)       7.01
customs       88.3%     0.02     0.08     0.01  100.0%       3.50    75.0% (4)          —
richberth     85.0%     0.00     0.11     0.00       —          —            —          —
bonded        85.7%     0.48     0.68     0.46   72.6%       3.95  31.7% (123)          —
victual       82.3%     0.48     0.66     0.39   81.4%       3.82  37.3% (118)          —
exchange      83.0%     0.36     3.05     0.93   66.8%       4.58   36.7% (90)          —
capstan       87.3%     0.06     0.08     0.00       —       3.00   62.5% (16)          —

GATE: 0 crashes / 0 deadlocks.
