=== BUILDING-POWER PROBE — 500 games/count · tier trader · base ===

== 4p · 500 games · rounds 12.5 · winner 64.9 · margin 9.5 ==
builder baseline: P(win)=25.0% · P(win|built any)=26.9% (n=1731) — the generic builder lift is the bar a design must beat
design        dealt%  builds/g  uses/g  ticks/g  rival%  pips/build  builderWin%   direct★/g
granary       83.6%     0.51     3.29     1.53   75.2%       4.00  37.1% (213)          —
scriveners    83.2%     0.41     2.04     0.99   74.3%       4.40  34.9% (172)          —
missionq     100.0%     0.70     2.64     1.17   76.6%       2.68  28.7% (349)          —
hiringpost    85.4%     0.04     0.67     0.06   59.3%       3.69   18.8% (16)          —
almoner       83.8%     0.15     0.89     0.26   73.9%       2.79   45.2% (62)          —
racking       84.2%     0.48     0.53     0.28   78.8%       3.58  29.2% (202)          —
assay         84.8%     0.50     2.90     1.33   74.9%       3.64  22.5% (213)          —
abbey         84.2%     0.57     0.23     0.17   78.9%       3.30  22.1% (240)          —
maltkiln     100.0%     0.87     8.64     2.56   78.5%       4.96  29.1% (433)          —
hopex         84.2%     0.52     2.11     0.96   74.9%       3.83  30.0% (220)          —
tollhouse     88.2%     0.24     0.10     0.05   85.7%       3.20  32.4% (105)       0.31
cooperage     83.6%     0.54     2.49     0.94   83.2%       4.73  35.0% (226)       4.99
customs       87.8%     0.05     0.04     0.00  100.0%       3.04   33.3% (24)          —
richberth     84.4%     0.00     0.09     0.00       —          —            —          —
bonded        86.0%     0.51     0.57     0.32   73.5%       3.62  22.7% (220)          —
victual       83.8%     0.48     0.49     0.29   72.1%       3.61  29.9% (201)          —
exchange      85.8%     0.47     3.55     1.21   73.6%       4.55  32.0% (203)          —
capstan       85.0%     0.11     0.13     0.03   92.9%       3.30   34.0% (47)          —

GATE: 0 crashes / 0 deadlocks.
