id	rounds	sailed	end	turns	sails	charters	enshrines	overbuilds	rent	boxed	spoil	tolls	rivalLoads	pickups	floorTurns	taps	hires	specBuys	surveys	deadStops	nothingToLoad	thinTurns
2p-1	20	6/6	CLOCK	40	2	1	3	0	0	0	0	9	0	0	8	2	0	6	0	60	2	0
2p-2	25	5/6	ROUND	50	3	1	1	0	0	0	1	10	5	0	9	5	3	4	0	41	26	0
2p-3	15	6/6	CLOCK	30	3	0	3	0	0	0	0	4	4	1	3	6	0	5	0	42	0	0
2p-4	22	6/6	CLOCK	44	3	2	1	2	2	0	0	3	0	1	8	3	2	1	7	56	1	0
2p-5	11	6/6	CLOCK	22	2	1	3	0	0	0	0	5	0	0	0	1	2	3	1	20	2	0
2p-6	14	6/6	CLOCK	28	5	0	1	0	0	0	0	7	2	3	2	0	0	3	0	33	5	0
2p-7	16	6/6	CLOCK	32	4	0	2	0	0	0	0	1	5	0	5	1	1	1	2	31	6	0
2p-8	16	6/6	CLOCK	32	2	0	4	0	2	0	0	4	3	0	2	1	0	4	6	47	2	0
2p-9	23	6/6	CLOCK	46	2	2	2	1	2	0	1	8	0	0	2	3	0	1	7	48	1	0
2p-10	14	7/6	CLOCK	28	2	1	4	0	0	0	0	3	0	0	1	4	0	1	3	33	5	0
2p-11	17	6/6	CLOCK	34	3	1	2	0	0	0	0	5	0	1	4	3	0	1	0	45	3	0
2p-12	18	7/6	CLOCK	36	4	1	2	3	3	1	0	3	3	0	12	1	0	2	4	15	17	0
2p-13	13	7/6	CLOCK	26	2	2	3	0	0	0	0	6	1	0	2	3	0	6	0	25	0	0
2p-14	18	6/6	CLOCK	36	4	2	0	0	0	0	0	7	2	1	2	2	0	5	1	32	15	0
2p-15	13	6/6	CLOCK	26	3	0	3	0	0	0	0	4	0	1	0	0	0	0	0	34	13	0
2p-16	16	6/6	CLOCK	32	5	1	0	0	0	0	0	5	1	2	2	4	0	2	1	27	2	0
2p-17	14	7/6	CLOCK	28	3	2	2	0	0	0	0	1	3	0	4	0	0	5	0	33	3	0
2p-18	17	8/6	CLOCK	34	5	1	2	0	0	0	0	7	3	1	4	1	0	4	0	47	3	0
2p-19	18	6/6	CLOCK	36	4	0	2	0	0	0	0	5	1	1	2	1	0	2	0	37	18	0
2p-20	11	6/6	CLOCK	22	2	3	1	0	0	0	0	5	0	0	2	0	1	1	0	24	3	0
2p-21	16	6/6	CLOCK	32	2	2	2	0	0	0	0	3	0	0	2	4	2	2	1	48	3	0
2p-22	15	7/6	CLOCK	30	4	2	1	0	0	0	0	5	2	2	5	3	0	7	0	29	0	0
2p-23	12	6/6	CLOCK	24	4	2	0	0	0	0	0	4	2	1	1	0	0	3	0	31	3	0
2p-24	25	6/6	CLOCK	50	5	1	0	3	3	2	0	5	2	0	12	1	3	4	2	30	25	0
2p-25	13	6/6	CLOCK	26	3	0	3	0	0	0	0	4	0	1	1	1	0	1	0	37	1	0
2p-26	17	6/6	CLOCK	34	3	1	2	0	0	0	0	1	0	1	2	1	0	3	1	52	5	0
2p-27	20	7/6	CLOCK	40	3	1	3	0	0	0	1	5	0	0	6	4	0	4	2	42	6	0
2p-28	24	7/6	CLOCK	48	4	0	3	2	2	0	0	7	2	0	6	6	2	3	2	63	6	0
2p-29	14	6/6	CLOCK	28	4	0	2	0	0	0	0	4	1	2	3	0	0	0	0	24	1	0
2p-30	18	6/6	CLOCK	36	2	1	3	0	0	0	0	4	3	0	7	0	1	1	2	42	10	0
2p-31	16	6/6	CLOCK	32	6	0	0	0	0	0	1	1	4	2	5	3	3	4	3	27	2	0
2p-32	22	6/6	CLOCK	44	3	1	2	0	0	0	0	3	2	1	4	4	1	4	0	60	8	0
2p-33	17	7/6	CLOCK	34	2	3	2	0	0	0	0	5	0	0	10	1	0	3	0	41	4	0
2p-34	25	4/6	ROUND	50	2	1	1	2	2	1	0	7	2	1	12	1	0	5	7	56	11	0
2p-35	11	7/6	CLOCK	22	2	1	4	0	0	0	0	8	0	1	0	1	0	1	0	19	1	0
2p-36	11	6/6	CLOCK	22	5	0	1	0	0	0	0	5	2	1	0	0	0	0	0	14	4	0
2p-37	19	7/6	CLOCK	38	4	1	2	0	0	0	1	3	1	1	8	1	1	2	2	35	10	0
2p-38	24	6/6	CLOCK	48	4	0	2	1	1	0	0	3	2	1	8	2	0	5	4	69	10	0
2p-39	14	6/6	CLOCK	28	4	0	2	0	0	0	0	6	0	0	1	1	0	1	0	39	7	0
2p-40	20	7/6	CLOCK	40	4	1	2	2	2	2	0	4	2	1	4	2	2	2	0	38	13	0
3p-1	23	11/10	CLOCK	69	5	2	4	0	0	0	2	20	5	0	6	8	0	10	1	75	21	0
3p-2	18	11/10	CLOCK	54	5	2	4	0	0	0	0	17	8	1	6	5	0	4	0	59	5	0
3p-3	19	12/10	CLOCK	57	7	0	5	0	0	0	0	15	7	3	9	2	3	3	2	57	3	0
3p-4	17	10/10	CLOCK	51	4	1	5	0	0	0	0	12	3	1	4	3	0	6	2	67	0	0
3p-5	16	11/10	CLOCK	48	6	1	4	1	1	0	0	8	3	4	11	1	2	1	0	41	4	0
3p-6	19	12/10	CLOCK	57	5	6	1	0	0	0	0	15	3	1	4	7	2	7	2	65	2	0
3p-7	18	12/10	CLOCK	54	6	2	4	4	5	0	1	8	7	2	9	6	0	1	7	52	10	0
3p-8	17	11/10	CLOCK	51	4	1	6	0	0	0	0	11	2	1	3	3	4	4	0	66	3	0
3p-9	19	10/10	CLOCK	57	6	1	3	5	7	2	0	13	6	4	8	7	0	6	9	57	3	0
3p-10	16	12/10	CLOCK	48	9	1	2	4	5	0	0	12	4	4	5	1	0	2	3	28	7	0
3p-11	15	10/10	CLOCK	45	4	1	5	0	0	0	1	14	4	0	1	1	1	5	0	54	4	0
