BUILDING PROBE — trader mirrors, 500 games each at 2p+4p (KEY hanse-hotseat-v87) · fair 2p 50% / 4p 25% (mixed here)
 tile         placed/g   owner-games  owner-win%   die-sets   avg*/set   *-total/g   displaced/g
richberth     0.77       715    35.5%       147   1.99      0.29        0.20   [value]
staple        0.76       715    35.9%       226   3.15      0.71        0.19   [value]
burgomstr     0.71       666    33.9%       190   2.77      0.53        0.18   [value]
connoiss      0.29       293    33.1%       12    6.00      0.07        0.10   [value]
hansediet     0.08       82     45.1%       0      —       0.00        0.04   [value]
festkeller    0.27       265    34.7%       10    3.00      0.03        0.09   [value]
reliquary     0.10       101    47.5%       7    2.00      0.01        0.06   [value]
almoner       0.35       355    37.7%       50    3.26      0.16        0.10   [value]
ch_bruges     0.38       378    29.9%       34    4.06      0.14        0.10   [value]
ch_london     0.39       393    37.7%       28    4.07      0.11        0.10   [value]
ch_bergen     0.36       364    36.8%       28    4.14      0.12        0.10   [value]
ch_novgo      0.37       367    34.6%       27    4.15      0.11        0.09   [value]
maltkiln      0.65       587    35.8%       0      —       0.00        0.16   [transform]
hopyard       0.14       144    40.3%       0      —       0.00        0.08   [transform]
cooperage     0.59       537    32.4%       0      —       0.00        0.17   [transform]
customs       0.42       371    34.0%       0      —       0.00        0.20   [transform]
gauger        0.12       120    41.7%       0      —       0.00        0.08   [transform]
workshop      0.06       60     48.3%       0      —       0.00        0.00   [transform]
salthouse     0.00       0        — %       0      —       0.00        0.00   [value·exp]
smokekiln     0.00       0        — %       0      —       0.00        0.00   [transform·exp]
partigyle     0.00       0        — %       0      —       0.00        0.00   [transform·exp]
